,,RA,,,Dec,,,,,,,,,
Galaxy Number,Name,H,M,S,Deg,Arcmin,Arcsec,Lambda Obs. H,"Lambda Obs, K",z H-Line,z K-line,vrad H-Line,vrad K-line,Avg vrad (km/s)
57,NGC 4798,12,52,36,27,41,0,4073.8,4037.8,0.02644,0.02647,7931.9,7942.4,7937.1
58,NGC 4807,12,53,6,27,47,0,4061.3,4025.8,0.02329,0.02343,6985.5,7027.6,7006.6
59,NGC 4816,12,53,48,28,1,0,4061.6,4025.7,0.02337,0.0234,7010,7018.5,7014.3
60,NGC 4819,12,54,0,27,15,0,4058.2,4021.9,0.0225,0.02243,6750.9,6730.2,6740.6
61,NGC 4827,12,54,18,27,27,0,4070.2,4033.9,0.02554,0.02548,7661.5,7644.8,7653.1
62,1254 +3059B,12,54,36,30,59,0,4064.3,4028.2,0.02406,0.02402,7217.7,7206.9,7212.3
63,NGC 4839,12,54,59.4,27,46,0,4068.4,4032.3,0.02508,0.02506,7523.7,7518.6,7521.2
64,1255 2749,12,55,0,27,49,0,4040.7,4004.9,0.0181,0.0181,5430.6,5429.5,5430.1
65,NGC 4841A,12,55,7.2,28,44,48,4059.3,4023.3,0.02278,0.02278,6833.6,6834.4,6834
66,NGC 4841B,12,55,9,28,45,6,4051.1,4015.3,0.02073,0.02075,6220.2,6224.3,6222.2
67,NGC 4848,12,55,42,28,31,0,4064.9,4028.7,0.0242,0.02417,7261,7251.1,7256
68,NGC 4853,12,56,10.3,27,52,0,4070.8,4034.6,0.0257,0.02565,7708.6,7694.5,7701.6
69,NGC 4860,12,56,39.6,28,23,36,4072.6,4036.1,0.02614,0.02605,7841.2,7814.2,7827.7
70,NGC 4865,12,56,55,28,21,12,4029.8,3993.9,0.01536,0.01531,4606.8,4592.4,4599.6
71,NGC 4872,12,57,10,28,13,9,4063.1,4027,0.02374,0.02372,7122,7116.9,7119.4
72,NGC 4874,12,57,10.8,28,13,48,4063.5,4027.3,0.02386,0.02381,7158.2,7141.8,7150
73,NGC 4892,12,57,36,27,10,0,4046.6,4010.5,0.01958,0.01954,5873.4,5861.9,5867.7
74,NGC 4889,12,57,43.5,28,14,46,4054.7,4019,0.02163,0.02169,6489,6506.3,6497.7
75,NGC 4895,12,57,52.8,28,28,12,4080.7,4044.4,0.02819,0.02815,8456.3,8444.1,8450.2
76,IC 842,12,58,12,29,17,0,4064.7,4029.1,0.02415,0.02426,7244.3,7277.8,7261.1
77,NGC 4907,12,58,24,28,25,0,4046.6,4010.6,0.01959,0.01957,5875.6,5870.7,5873.2
78,NGC 4911,12,58,30,28,3,0,4073.9,4037.7,0.02647,0.02644,7942.2,7933,7937.6
79,NGC 4921,12,59,0,28,9,0,4041,4005.1,0.01817,0.01816,5450.7,5448.4,5449.5
80,NGC 4923,12,59,7.2,28,6,54,4042.1,4006.2,0.01846,0.01845,5538.1,5534.6,5536.4
81,NGC 4926,12,59,29.4,27,53,36,4070.4,4034.5,0.02557,0.02564,7672.4,7692.7,7682.6
82,NGC 4929,13,0,20,28,18,48,4053.5,4017.8,0.02133,0.02138,6397.6,6414.6,6406.1
83,NGC 4931,13,0,36.6,28,18,2,4045.6,4009.9,0.01933,0.01938,5800.4,5815.4,5807.9
84,NGC 4944,13,1,25.9,28,27,13,4061.8,4025.7,0.02341,0.02339,7022.7,7018.4,7020.6
85,NGC 4952,13,2,36,29,24,0,4046.8,4010.8,0.01965,0.01962,5894.9,5886,5890.5
86,NGC 4957,13,2,48.6,27,50,12,4057.9,4021.5,0.02244,0.02233,6731,6698.3,6714.7
87,NGC 4961,13,3,24,28,0,0,4002.9,3966.9,0.00859,0.00845,2576.6,2535.3,2555.9
88,NGC 4966,13,3,54,29,20,0,4061.8,4025.3,0.02341,0.02329,7024.4,6987.6,7006
89,NGC 4983,13,6,0,28,35,0,4056.1,4020.3,0.02199,0.02201,6597.1,6603.1,6600.1
90,1306 2827,13,6,30,28,27,0,4046.9,4011.1,0.01966,0.01968,5897.5,5905.2,5901.3
91,NGC 5000,13,7,24,29,10,0,4043.1,4007.3,0.0187,0.01872,5610.7,5614.6,5612.6
92,NGC 5004,13,8,42,29,54,0,4062.9,4027.1,0.0237,0.02376,7109.4,7127.2,7118.3
93,1309 3146,13,9,18,31,46,0,4061.2,4025.6,0.02327,0.02337,6979.8,7012.2,6996
94,NGC 5032,13,11,0,28,4,0,4053.3,4017.9,0.02127,0.0214,6381.8,6421.1,6401.5
95,NGC 5041,13,12,12,30,58,0,4067.1,4031.1,0.02476,0.02476,7427.6,7427.2,7427.4
96,NGC 5052,13,13,12,29,55,0,4057.8,4022,0.02241,0.02246,6723.9,6737.8,6730.8
97,NGC 5056,13,13,48,31,12,0,4042.6,4006.8,0.01859,0.0186,5576,5580.9,5578.5
98,NGC 5057,13,14,6,31,17,0,4045.7,4009.3,0.01936,0.01923,5809,5768,5788.5
99,NGC 5065,13,15,12,31,20,0,4042.7,4006.5,0.01862,0.01851,5584.7,5553.3,5569
100,NGC 5074,13,16,6,31,44,0,4043.2,4007.2,0.01873,0.01868,5618.3,5604.9,5611.6
101,NGC 5081,13,16,48,28,46,0,4056.4,4020.8,0.02205,0.02216,6614.3,6646.8,6630.6
102,NGC 5089,13,17,18,30,31,0,3996.8,3961.5,0.00704,0.00708,2113.1,2123.4,2118.2
103,1318 3147,13,18,0,31,47,0,4035,3998.9,0.01667,0.01659,5001.3,4976.1,4988.7
104,1319 3137,13,19,18,31,37,0,4035.7,3999.7,0.01683,0.01678,5050.3,5034.9,5042.6
105,1319 3130,13,19,24,31,30,0,4064.9,4029.2,0.02421,0.02428,7262.3,7284.2,7273.3
106,NGC 5116,13,20,36,27,15,0,4002.9,3967.5,0.00859,0.0086,2575.5,2580.3,2577.9
107,NGC 5117,13,20,36,28,35,0,4000.9,3965.6,0.00808,0.00811,2424.5,2434.5,2429.5
108,IC 4234,13,20,42,27,23,0,4105.2,4068.6,0.03436,0.0343,10308.1,10291.1,10299.6
109,NGC 5127,13,21,24,31,50,0,4032.2,3996.3,0.01596,0.01593,4789.4,4779.2,4784.3
110,NGC 5131,13,21,37.4,31,14,53,4056.9,4020.8,0.02218,0.02215,6655,6643.7,6649.3
111,NGC 5187,13,27,29.8,31,23,17,4063.7,4028.3,0.02389,0.02405,7167.9,7216,7192
112,1327 3135,13,27,58.4,31,35,27,4035.2,3999.2,0.01673,0.01666,5017.8,4999.4,5008.6
113,1328 3153,13,28,7.9,31,52,43,4065.9,4030.2,0.02445,0.02453,7333.8,7358.2,7346
114,NGC 5251,13,35,5.2,27,40,25,4116,4079.4,0.03707,0.03704,11120.2,11111.4,11115.8
115,1337 2801,13,37,25.1,28,1,47,4081.7,4046.1,0.02844,0.02859,8531.1,8575.7,8553.4
116,NGC 5263,13,37,36.5,28,39,10,4033.2,3997.1,0.01621,0.01612,4864.2,4837.3,4850.8
117,NGC 5280,13,40,36,30,7,0,4114.7,4078.2,0.03675,0.03675,11025.1,11024.5,11024.8
118,1340 3036,13,40,52,30,35,19,4107,4070.4,0.0348,0.03476,10439.2,10426.6,10432.9
119,NGC 5282,13,41,6,30,20,0,4127.5,4090.6,0.03997,0.03989,11990.2,11966.3,11978.2
120,1345 3035,13,45,0,30,35,0,4029.7,3994.4,0.01532,0.01543,4596,4628.6,4612.3
121,1348 2824,13,48,12,28,24,0,4062.2,4026.5,0.02352,0.02359,7056.3,7076,7066.1
122,1348 2937,13,48,12,29,37,0,4120.5,4083.8,0.0382,0.03817,11460.5,11452.4,11456.5
123,NGC 5375,13,54,30,29,25,0,4000.3,3964.9,0.00793,0.00793,2379.5,2379.8,2379.6
124,1355 2902,13,55,4,29,2,23,4118.1,4081.9,0.03762,0.03768,11284.7,11303.4,11294
125,IC 4355,13,55,48,28,40,0,4073.9,4038.1,0.02648,0.02655,7944.1,7965.4,7954.7
126,1357 2819,13,57,23.6,28,18,13,4113.8,4077,0.03653,0.03644,10959.1,10931.1,10945.1
127,1358 3019,13,58,30,30,19,0,4074.5,4038.5,0.02662,0.02664,7987.5,7992.6,7990.1
128,1358 2948,13,58,42,29,48,0,4076.8,4040.8,0.0272,0.02724,8161.4,8171,8166.2
129,1358 2946,13,58,48,29,46,0,4073.8,4037.8,0.02645,0.02646,7934.9,7938.1,7936.5
130,1400 2816,14,0,48.1,28,16,17,4028.6,3993.3,0.01506,0.01516,4519,4547.3,4533.2
131,1402 2809,14,2,18,28,9,0,4029.3,3993.6,0.01522,0.01523,4566,4568,4567
132,1405 3006,14,5,42,30,6,49,4077.6,4041.6,0.0274,0.02745,8218.9,8234.6,8226.8
133,IC 4384,14,9,36,27,21,0,4106,4070,0.03455,0.03465,10364.2,10394.8,10379.5
134,NGC 5512,14,10,24,31,5,0,4025.8,3990.3,0.01435,0.0144,4305.8,4319.1,4312.5
135,1411 2714,14,11,1,27,14,30,4038.9,4003.1,0.01764,0.01765,5292.4,5295.9,5294.2
136,1411 2940,14,11,30,29,40,0,4090.4,4053.9,0.03062,0.03058,9186.1,9172.8,9179.5
137,IC 4395A,14,15,6.1,27,5,15,4113.5,4077.4,0.03645,0.03653,10934.7,10960.4,10947.6
138,IC 4403,14,16,6,31,53,0,3999.3,3964.2,0.00768,0.00776,2304.2,2326.9,2315.6
139,1418 2705,14,18,18,27,5,0,4114.2,4077.9,0.03663,0.03666,10989.2,10998.3,10993.8
140,IC 4408,14,19,0,30,13,0,4089.5,4053.3,0.0304,0.03041,9119.5,9122.8,9121.2
141,IC 4409,14,19,18,31,49,0,4105.2,4068.5,0.03435,0.03428,10306.2,10283.6,10294.9
142,IC 4422,14,23,42,30,42,0,4087.2,4051,0.02982,0.02982,8944.7,8947,8945.8
143,IC 4425,14,24,30,27,25,0,4089.3,4053.1,0.03034,0.03037,9101.1,9110.4,9105.8
144,1424 3144,14,24,48.9,31,44,20,4020.1,3984.4,0.0129,0.01289,3870.3,3868.2,3869.2
145,IC 1012,14,25,0.5,31,10,17,4022.5,3986.6,0.01353,0.01346,4058.7,4039.5,4049.1
146,1426 2729,14,26,18,27,29,0,4021,3985.3,0.01315,0.01313,3944,3939.3,3941.6
147,NGC 5635,14,26,18,27,38,0,4026.1,3990.4,0.01442,0.01442,4324.7,4327.2,4326
148,IC 4442,14,26,34.1,29,11,16,4023.8,3987.8,0.01385,0.01377,4153.6,4130.1,4141.9
149,NGC 5639A,14,26,42,30,38,7,4015.7,3980.3,0.01181,0.01185,3544.1,3556,3550
150,NGC 5642,14,27,0,30,15,0,4026.2,3990,0.01445,0.01432,4334.2,4295.5,4314.9
151,NGC 5641,14,27,5.4,29,2,36,4025.8,3990,0.01436,0.01432,4308.3,4295.3,4301.8
152,IC 4447,14,27,6,31,3,0,4025.7,3990.1,0.01432,0.01434,4296.5,4301.5,4299
153,1427 2745,14,27,59.1,27,45,0,4028.4,3993,0.01502,0.01509,4504.6,4528,4516.3
154,NGC 5653,14,28,0,31,26,17,4014.7,3979.1,0.01155,0.01155,3465,3465.9,3465.4
155,NGC 5657,14,28,30,29,24,0,4020.1,3984.4,0.01291,0.01291,3873.1,3871.6,3872.3
156,1428 2727,14,28,56.3,27,27,30,4027.9,3992,0.01488,0.01483,4464.8,4449,4456.9
157,IC 4450,14,29,54,28,46,0,4089.1,4053.1,0.0303,0.03036,9088.5,9108.4,9098.5
158,IC 4452,14,30,12,27,39,0,4025.3,3989.5,0.01422,0.01419,4266.6,4257.7,4262.1
159,NGC 5672,14,30,30,31,53,0,4015.5,3979.5,0.01176,0.01164,3529.2,3493.2,3511.2
160,1431 2816,14,31,29.8,28,16,22,4092.2,4055.6,0.03109,0.03099,9325.8,9296.5,9311.1
161,1431 2810,14,31,54,28,10,0,4094.4,4058.5,0.03164,0.03174,9491.6,9522.5,9507
162,1432 3146,14,32,12,31,46,0,4084.5,4048.4,0.02913,0.02915,8739.7,8746.3,8743
163,IC 4459,14,32,18,31,11,0,4086.8,4051.2,0.02973,0.02988,8919.1,8963.5,8941.3
164,IC 4460,14,32,24,30,30,0,4086.9,4050.3,0.02975,0.02966,8925.9,8897.9,8911.9
165,NGC 5685,14,34,0,30,7,0,4105.6,4069.3,0.03446,0.03449,10336.5,10345.8,10341.2
166,NGC 5709,14,36,36,30,39,0,4018.6,3982.6,0.01254,0.01243,3761.2,3728.8,3745
167,1436 3110,14,36,48,31,10,0,4106.1,4070.1,0.03459,0.03468,10377.1,10402.6,10389.9
168,1437 3143,14,37,54,31,43,0,4057.4,4021.5,0.0223,0.02233,6689.8,6699.6,6694.7
169,1438 3135,14,38,24,31,35,0,4059.3,4023.4,0.02278,0.02281,6833.9,6844.1,6839
170,1439 3151,14,39,18,31,51,0,4096.1,4059.6,0.03206,0.03201,9616.5,9603.7,9610.1
171,NGC 5735,14,40,12,28,56,0,4018.1,3982.6,0.01241,0.01245,3723.1,3735,3729
173,1443 3038,14,43,18,30,37,54,4088.4,4052,0.03012,0.03009,9035.9,9027.7,9031.8
175,1447 2759,14,47,17.8,27,59,12,4089.1,4052.6,0.03029,0.03024,9086.8,9072.7,9079.8
176,IC 4514,14,48,42,27,46,0,4088.2,4052,0.03008,0.03007,9024.1,9022.3,9023.2
177,NGC 5771,14,50,0,30,3,0,4058.9,4022.9,0.02268,0.02268,6804.2,6803.4,6803.8
178,NGC 5773,14,50,18,30,0,0,4059.7,4024,0.0229,0.02295,6869.6,6886.2,6877.9
179,1452 +3025A,14,52,0,30,25,0,4006.3,3970.7,0.00945,0.00942,2834.2,2827.4,2830.8
180,NGC 5780,14,52,12,29,9,0,4060.7,4025.2,0.02315,0.02327,6946.4,6982,6964.2
181,NGC 5789,14,54,24,30,25,0,3992.1,3957.1,0.00586,0.00596,1757.1,1787.6,1772.4
182,NGC 5798,14,55,30,30,10,0,3992.1,3957.2,0.00586,0.00598,1756.9,1793.9,1775.4
183,1457 2719,14,57,24,27,19,0,4057.2,4020.7,0.02227,0.02213,6681.5,6638,6659.8
184,IC 4533,15,2,22.1,27,59,13,4100.8,4064.5,0.03325,0.03326,9973.7,9977,9975.4
185,1502 2711,15,2,30,27,11,0,4091.4,4055.5,0.03088,0.03097,9262.8,9289.9,9276.3
186,1503 3121,15,3,32.6,31,21,20,4101.3,4065.1,0.03337,0.03341,10011,10023.1,10017
187,1515 3052,15,15,57.1,30,52,13,4091.1,4054.7,0.03081,0.03077,9243.9,9232.1,9238
188,1517 3133,15,17,48,31,33,0,4093.3,4056.7,0.03136,0.03128,9407.5,9384.2,9395.9
189,1519 2844,15,19,12,28,44,0,4093.8,4057.6,0.03147,0.03152,9442.4,9454.9,9448.6
190,NGC 5924,15,19,54,31,24,0,4093.1,4056.7,0.03132,0.03127,9394.7,9382.2,9388.5
191,1520 2957,15,20,41,29,56,53,4060,4023.7,0.02297,0.02288,6890.2,6862.8,6876.5
192,IC 4546,15,24,54,29,1,0,4103.9,4067.8,0.03402,0.03411,10207.2,10231.9,10219.6
193,1527 3039,15,27,37.9,30,39,23,4107.2,4070.4,0.03485,0.03477,10454.6,10430.5,10442.6
194,1528 2716,15,28,12,27,16,0,4098.9,4062.3,0.03276,0.0327,9827.9,9809.1,9818.5
195,NGC 5958,15,32,42,28,50,0,3996.3,3960.5,0.0069,0.00682,2071.3,2046,2058.7
196,1533 2730,15,33,6,27,30,0,4096.9,4060.9,0.03227,0.03234,9681.6,9703,9692.3
197,NGC 5961,15,33,12,31,1,0,3992.4,3957,0.00593,0.00593,1777.8,1779.9,1778.9
198,1533 3058,15,33,15.4,30,58,0,4071.5,4035.2,0.02588,0.02581,7762.8,7742.5,7752.6
199,1534 3050,15,34,17.7,30,50,47,3990.8,3955.8,0.00554,0.00561,1662.5,1684.3,1673.4
200,NGC 5974,15,37,0,31,55,0,3996.4,3960.7,0.00695,0.00687,2084.8,2061.4,2073.1
201,IC 4568,15,38,0,28,19,0,4093.4,4057.5,0.03137,0.03149,9411.7,9445.5,9428.6
202,1538 +2831A,15,38,24,28,31,0,4098.5,4062.3,0.03267,0.03271,9801.8,9812.5,9807.1
203,IC 4569,15,38,42,28,28,0,4098.6,4062,0.0327,0.03261,9810.9,9783.5,9797.2
204,1539 2809,15,39,18,28,9,0,4097.6,4061.4,0.03245,0.03247,9734.5,9741.3,9737.9
205,IC 4570,15,39,18.1,28,23,20,4096.2,4060.1,0.0321,0.03214,9628.7,9640.6,9634.6
206,IC 4572,15,39,48,28,18,0,4100.3,4064,0.03312,0.03314,9935.5,9941.7,9938.6
207,IC 4580,15,41,6,28,31,0,4095.6,4059.4,0.03194,0.03196,9581.2,9586.6,9583.9
208,1541 2835,15,41,42,28,35,0,4102.3,4065.5,0.03363,0.03351,10089.4,10053.6,10071.5
209,IC 4581,15,41,54,28,26,0,4096.8,4060.3,0.03223,0.0322,9669.3,9661,9665.1
210,IC 4582,15,43,36,28,15,0,3997.1,3961.4,0.00711,0.00705,2133.4,2113.9,2123.7
211,1544 3025,15,44,18,30,25,0,4090,4054,0.03054,0.03059,9160.6,9177.6,9169.1
212,1544 3110,15,44,44.6,31,9,53,4088.7,4052.3,0.03021,0.03016,9062.2,9047.1,9054.6
213,NGC 6001,15,45,42,28,48,0,4095.8,4060,0.03198,0.03211,9592.6,9633.4,9613
214,1546 2746,15,46,54,27,46,0,3997.5,3962.1,0.00723,0.00722,2168.4,2165.4,2166.9
215,1548 2847,15,48,30,28,47,0,4091.8,4055.3,0.03097,0.03093,9290.4,9279.3,9284.8
216,1552 3018,15,52,6,30,18,0,4047.2,4011.6,0.01973,0.01981,5919,5943.3,5931.2
217,NGC 6016,15,53,54,27,7,0,4052.5,4016.1,0.02106,0.02095,6319.3,6284,6301.7
218,1555 3011,15,55,27.3,30,11,57,4094.8,4058.5,0.03173,0.03173,9518.9,9518.9,9518.9
